region,state,YearMonth,category,Total_Sales,Total_Profit,Avg_Profit,Avg_Discount,Profit_Margin,Orders
Central,Illinois,2018-01,Office Supplies,288.06,-65.99,-21.996666666666666,0.4000000000000001,-0.47528253256283143,1
Central,Illinois,2018-02,Office Supplies,72.00999999999999,-19.68,-6.56,0.6,-1.0126818915170792,3
Central,Illinois,2018-03,Furniture,634.12,-172.12,-172.12,0.3,-0.2714312748375702,1
Central,Illinois,2018-03,Office Supplies,34.05,-5.51,-1.8366666666666667,0.4000000000000001,-0.3545173944506419,3
Central,Illinois,2018-03,Technology,654.89,170.05,85.025,0.25,0.22323877528843694,2
Central,Illinois,2018-04,Office Supplies,101.73,7.630000000000001,3.8150000000000004,0.2,0.07500132458117131,1
Central,Illinois,2018-05,Furniture,744.55,-214.17,-71.39,0.4666666666666666,-0.45310775417994287,3
Central,Illinois,2018-05,Office Supplies,376.37,-348.91999999999996,-49.84571428571428,0.4571428571428572,-0.6964496685084681,5
Central,Illinois,2018-05,Technology,719.98,135.0,135.0,0.2,0.18750520847801327,1
Central,Illinois,2018-06,Furniture,330.48,-249.77,-124.885,0.55,-0.7149859259207522,2
Central,Illinois,2018-06,Office Supplies,266.94,-14.700000000000003,-2.1000000000000005,0.37142857142857144,-0.2553539443042781,5
Central,Illinois,2018-07,Office Supplies,189.34,-62.730000000000004,-20.91,0.4000000000000001,-0.47496789166294673,3
Central,Illinois,2018-07,Technology,62.11,7.109999999999999,3.5549999999999997,0.2,0.11883114150078126,2
Central,Illinois,2018-08,Furniture,421.37,-6.02,-6.02,0.3,-0.01428673137622517,1
Central,Illinois,2018-09,Furniture,1111.13,-478.17,-239.085,0.4,-0.40142695251971594,2
Central,Illinois,2018-09,Office Supplies,737.03,-740.1800000000001,-105.74000000000001,0.4571428571428572,-0.7500689809760724,4
Central,Illinois,2018-09,Technology,880.86,191.12,47.78,0.2,0.24699085736188095,4
Central,Illinois,2018-10,Furniture,258.28,-70.1,-70.1,0.3,-0.2714108719219452,1
Central,Illinois,2018-10,Office Supplies,908.75,131.26000000000002,16.407500000000002,0.35000000000000003,-0.23091660458598748,3
